,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
575,1.0,1,1520,,2000,595000,51,71
576,2.0,3,1078,5,1955,910000,31,60
591,1.0,2,920,4,1953,,42,65
592,3.0,4,2177,7,1958,,46,52
593,2.0,3,1379,5,1942,,43,63
594,1.5,2,974,7,1971,679000,36,41
595,1.0,3,1086,5,1953,,40,48
596,2.5,3,1469,7,2008,1000000,36,44
597,2.0,3,1656,,2000,242800,42,46
598,3.0,5,1524,11,1952,,44,76
599,2.0,3,1116,6,1956,850000,33,59
600,1.0,2,790,4,1942,,42,67
601,2.5,2,1576,,2004,849000,46,46
602,2.0,4,1890,8,1958,,25,34
603,2.0,4,1659,7,1968,,41,60
604,2.5,3,2500,7,1947,,48,89
605,2.0,2,881,,2015,765903,0,7
606,2.0,3,1205,,2015,966724,0,7
607,3.0,4,1642,8,1959,739000,39,58
608,3.0,3,2460,11,1948,1650000,44,76
609,6.0,8,5800,7,2015,4198000,23,30
610,1.5,4,1605,6,1954,1499000,36,30
611,3.0,5,2000,9,2015,1850000,43,64
612,2.5,4,1700,9,1994,1788000,47,65
613,2.5,3,1327,7,1994,2000000,47,57
614,3.5,4,1882,,2011,1300000,33,59
615,1.0,3,960,5,1954,,40,44
616,1.0,2,960,6,1927,,46,53
617,,,5025,,,2500000,45,63
618,2.0,2,1212,5,1974,849888,43,76
619,3.0,4,1881,9,1952,1289800,37,63
620,2.5,3,1720,8,2007,899000,45,53
621,1.0,2,982,5,1949,,40,66
623,1.0,2,662,4,1905,,46,73
624,3.0,8,3248,17,1890,1395000,50,94
625,2.0,3,2504,9,1896,895000,39,62
626,3.0,3,2790,7,1905,1095000,44,80
627,2.0,3,1480,7,1882,,44,77
628,1.5,2,854,176,1964,,36,44
629,1.0,2,1030,6,1907,1339000,95,95
630,1.0,1,1212,5,1890,749000,85,96
631,,,450,,,350000,91,97
632,2.0,3,1449,6,2001,1470000,84,94
633,4.0,4,2270,16,1925,2250000,82,97
634,1.0,1,880,3,1986,749000,100,97
635,1.0,3,2800,,1908,975000,85,91
636,3.0,,3537,14,1906,,76,85
637,2.0,3,1791,,1981,,82,80
638,1.0,,1320,6,1929,,64,84
639,3.0,4,2487,9,1925,,59,67
640,1.0,,870,5,1914,,76,92
641,1.0,2,975,4,1951,,74,86
642,2.0,3,1474,6,1962,1400000,71,79
643,1.0,,700,4,1930,,76,82
644,1.0,,860,4,1911,,84,91
645,1.0,2,960,5,1905,,75,85
646,2.0,,1980,7,1900,,70,83
647,1.0,1,718,3,1905,,80,94
648,2.0,3,2854,7,1917,,91,96
649,2.0,2,917,4,2009,,97,75
650,2.5,2,1247,5,2007,1495000,96,77
651,1.0,1,597,3,2009,849000,97,84
652,2.5,2,1180,4,1987,899000,77,54
670,1.0,1,717,3,1974,,0,62
671,2.0,4,1090,7,1908,,64,80
672,2.0,4,1780,7,1977,,59,74
673,1.0,1,813,3,1974,,0,70
674,2.0,3,1160,5,1958,,0,60
675,3.0,7,2100,12,1960,899000,0,22
676,2.0,2,1158,4,1986,599000,0,13
677,3.5,4,3100,8,1987,1500000,58,54
678,1.0,3,1120,5,1958,,0,25
679,3.0,4,2250,12,1911,,0,72
680,1.0,3,1100,5,1958,699999,0,57
681,1.0,3,1380,7,1965,,0,55
682,2.0,3,1990,7,1917,,65,79
683,1.5,2,1048,5,1974,,0,62
684,4.0,4,2710,9,1995,,77,73
685,1.0,4,840,7,1917,,76,83
686,3.0,4,1520,9,1986,,0,60
687,1.5,3,1420,6,1971,749000,0,75
688,2.0,3,1270,6,1959,,0,70
689,2.0,3,1310,6,1957,699000,0,29
690,2.0,3,1230,6,1956,,0,61
691,3.0,3,1610,6,1979,,0,72
692,1.0,2,1060,5,1955,,0,57
693,3.0,3,1400,7,2005,,0,43
694,1.0,3,1330,7,1927,,0,72
695,2.0,3,1190,6,1956,,31,44
696,2.0,4,2180,8,1953,,0,43
697,1.0,1,717,3,1974,,0,62
698,3.0,4,1710,8,1959,,31,73
699,1.5,2,1230,5,1931,,65,79
700,2.0,3,1750,7,1975,,59,62
701,1.0,1,717,3,1974,,0,62
702,1.0,1,788,3,1974,,0,62
703,1.5,2,1048,5,1974,,0,62
704,2.0,3,1770,7,1976,,0,50
705,2.0,3,1720,6,1983,,61,70
706,1.0,1,655,3,1986,,57,50
707,2.0,2,1065,4,1974,,0,62
708,2.5,3,1242,6,1975,,0,69
709,2.5,3,1242,5,1975,,0,69
717,1.0,2,1214,5,1908,1199000,88,94
718,3.5,3,3326,14,1904,,62,93
720,2.0,3,1498,6,1940,,39,20
